source,molecule,length_bin,count
NPInter 主表,protein,40–199,641
NPInter 主表,protein,200–399,8700
NPInter 主表,protein,400–599,8534
NPInter 主表,protein,600–799,4470
NPInter 主表,protein,800–999,3850
NPInter 主表,protein,1000–1299,2869
NPInter 主表,protein,1300–1599,2881
NPInter 主表,protein,1600–2000,134
NPInter 主表,RNA,10–19,0
NPInter 主表,RNA,20–49,0
NPInter 主表,RNA,50–99,0
NPInter 主表,RNA,100–199,0
NPInter 主表,RNA,200–299,5882
NPInter 主表,RNA,300–399,10699
NPInter 主表,RNA,400–500,15498
NPInter binding-site,protein,40–199,899
NPInter binding-site,protein,200–399,15775
NPInter binding-site,protein,400–599,21357
NPInter binding-site,protein,600–799,9383
NPInter binding-site,protein,800–999,6653
NPInter binding-site,protein,1000–1299,8965
NPInter binding-site,protein,1300–1599,4088
NPInter binding-site,protein,1600–2000,65
NPInter binding-site,RNA,10–19,7028
NPInter binding-site,RNA,20–49,36309
NPInter binding-site,RNA,50–99,19867
NPInter binding-site,RNA,100–199,3760
NPInter binding-site,RNA,200–299,188
NPInter binding-site,RNA,300–399,33
NPInter binding-site,RNA,400–500,0
NPInter miRNA,protein,40–199,25
NPInter miRNA,protein,200–399,71
NPInter miRNA,protein,400–599,3
NPInter miRNA,protein,600–799,111
NPInter miRNA,protein,800–999,2
NPInter miRNA,protein,1000–1299,100
NPInter miRNA,protein,1300–1599,0
NPInter miRNA,protein,1600–2000,0
NPInter miRNA,RNA,10–19,18
NPInter miRNA,RNA,20–49,294
NPInter miRNA,RNA,50–99,0
NPInter miRNA,RNA,100–199,0
NPInter miRNA,RNA,200–299,0
NPInter miRNA,RNA,300–399,0
NPInter miRNA,RNA,400–500,0
RCSB PDB,protein,40–199,739
RCSB PDB,protein,200–399,726
RCSB PDB,protein,400–599,484
RCSB PDB,protein,600–799,335
RCSB PDB,protein,800–999,136
RCSB PDB,protein,1000–1299,166
RCSB PDB,protein,1300–1599,89
RCSB PDB,protein,1600–2000,63
RCSB PDB,RNA,10–19,600
RCSB PDB,RNA,20–49,652
RCSB PDB,RNA,50–99,567
RCSB PDB,RNA,100–199,162
RCSB PDB,RNA,200–299,25
RCSB PDB,RNA,300–399,18
RCSB PDB,RNA,400–500,7
