source,category,complex_count,fraction_within_source
NPInter 主表,E2:high-throughput CLIP: eCLIP,14258,0.44446522647214687
NPInter 主表,E2:high-throughput CLIP: CLIP,5443,0.16967486517659527
NPInter 主表,E2:high-throughput CLIP: CLIP-Seq,4507,0.14049689828236542
NPInter 主表,E2:high-throughput CLIP: PAR-CLIP,4426,0.1379718819165186
NPInter 主表,E2:high-throughput CLIP: HITS-CLIP,2142,0.06677265500794913
NPInter 主表,E2:high-throughput CLIP: eCLIP;CLIP,593,0.018485613641322982
NPInter 主表,E2:high-throughput CLIP: iCLIP,218,0.0067957230586988375
NPInter 主表,E2:high-throughput CLIP: CLIP;PAR-CLIP,85,0.002649708532061473
NPInter 主表,E2:high-throughput CLIP: eCLIP;PAR-CLIP,66,0.00205742074254185
NPInter 主表,E2:high-throughput CLIP: HITS-CLIP;CLIP-Seq,54,0.0016833442438978772
NPInter 主表,E2:high-throughput CLIP: eCLIP;CLIP-Seq,48,0.0014963059945758907
NPInter 主表,E2:high-throughput CLIP: eCLIP;PAR-CLIP;CLIP,43,0.0013404407868075688
NPInter 主表,E2:high-throughput CLIP: easyCLIP,33,0.001028710371270925
NPInter 主表,E2:high-throughput CLIP: iCLIP;PAR-CLIP,28,0.000872845163502603
NPInter 主表,E2:high-throughput CLIP: eCLIP;iCLIP,24,0.0007481529972879453
NPInter 主表,E2:high-throughput CLIP: CLIP-Seq;PAR-CLIP,16,0.0004987686648586303
NPInter 主表,E3:biochemical/curated: RIP;PAR-CLIP;RNA interference,10,0.0003117304155366439
NPInter 主表,E2:high-throughput CLIP: CLIP-seq,10,0.0003117304155366439
NPInter 主表,E2:high-throughput CLIP: eCLIP;PAR-CLIP;iCLIP,9,0.00028055737398297953
NPInter 主表,E3:biochemical/curated: PAR-CLIP;RIP;RNA interference,7,0.00021821129087565074
NPInter 主表,E3:biochemical/curated: Immunoprecipitation experiments,7,0.00021821129087565074
NPInter 主表,E2:high-throughput CLIP: HITS-CLIP;PAR-CLIP,7,0.00021821129087565074
NPInter 主表,E2:high-throughput CLIP: eCLIP;CLIP-Seq;CLIP,5,0.00015586520776832196
NPInter 主表,E3:biochemical/curated: RIP;RNA interference;PAR-CLIP,4,0.00012469216621465758
NPInter 主表,E3:biochemical/curated: RIP-Seq,4,0.00012469216621465758
NPInter 主表,E2:high-throughput CLIP: MY-CLIP,4,0.00012469216621465758
NPInter 主表,E2:high-throughput CLIP: fPARCLIP,3,9.351912466099317e-05
NPInter 主表,E3:biochemical/curated: X-ray Crystallography,2,6.234608310732879e-05
NPInter 主表,E1:unspecified experimental,2,6.234608310732879e-05
NPInter 主表,E3:biochemical/curated: Immunoprecipitation experiments;Western Blot,2,6.234608310732879e-05
NPInter 主表,E1:experimental (unclassified): Transmission electron microscopy,2,6.234608310732879e-05
NPInter 主表,E2:high-throughput CLIP: eCLIP-seq,2,6.234608310732879e-05
NPInter 主表,E2:high-throughput CLIP: clip seq,2,6.234608310732879e-05
NPInter 主表,E2:high-throughput CLIP: CLIP;eCLIP;PAR-CLIP,1,3.1173041553664394e-05
