rank,sequence_hash,complex_count
1,3cf8129cb620c63bbdeb97d01bd5d2e33702c0395ad382e1b92fadebc9cd2017,5750
2,d53e700e6d239ae8af9ea767b63311bbf6d773032026a1c967246d1f4e663c8b,5750
3,4a254ab17fd6e25c6ef061a6a774d2f2083dc87d233eddcad9727fd306e733c0,5581
4,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,5578
5,7b11c5b47807fe00f4c20f0290106bb7382782c304c71d5f842906617a1216b0,3079
6,a5745e83e4188b1293df15ae00232356e8da907a01516acd93bdab43e5479109,2692
7,54f637b916b4bc99b3da957f0029f5302a0a404becdc855712e13eaf50083901,2293
8,bdde991a41ffa7f13aa88d9a8f16475198456ef2041a1b43efcdda931ef61269,2200
9,0dc9f286fbf1368a5715f64d7fbe78ef12fafb76a89363f840ef946f61050f8f,1810
10,e7b83e519ef6ca16d07cd477eb8474f8141c4f70b20f0ecabce334a03fa13b6b,1794
11,5ed5e735763d5ee7295541f32f24266389d5d3ccf7a723fb61bf4a407a7e62fa,1751
12,fd19b5ff83afac35c7eb51d5e79d6991972944391afa5d875bf60ac155f40089,1691
13,9e62ed7fce0b01304350ed65fe685158bd77a0e9365e63398834a250c6394d1e,1599
14,72d8d68f6efa5b8d5ade4b8102589c310eaa34c382913d2db4228f2fac459841,1483
15,d8c81a767fda82bb29a7aa451ca725ac4b4b3f5660a754489017ec60d55f4a73,1409
16,27de9ad3831d4b8712fea8c5edcf7f89de9b16d915e147994419b6874c948f88,1353
17,04e940a5ebf0b96fc9faa1d8b38ce5273808c79190ab719e40a85726aa6605c3,1292
18,75078f3a53de34edd93133af165bd3d5246d26dddb31ce2037c8b11ac97791bf,1163
19,d0ab90ec41dfb6e98da7a058eb1157f61190d5bddb6f07671e674e95f21efb3b,1010
20,fe2f58ab5c0d00d21d306407b7b4272c66dcc1e9ad8ed24c8afdd3d8fef67482,981
21,f4851453d4de4ed2f0aea46c1a82752be0139b026f62c7aa7875fff0028414d6,937
22,b7b1f0c8befd3b79a2858fab25ea2b1896747cd28b13edc88a13969b60adfe9e,897
23,8b6e6bfa915a530a1d8ce532ba96efea2b2697974b57e76114de04c1d8f61622,892
24,38007c86c8964651573614630370c28d12e674fbbfd29ef28f32aad9ff298b37,874
25,f4773c1f8040890d506a167b70759e2a084bbfa1c1606db2ba105c4878e4c798,858
26,8b36b8b3623626f203cc3ac25ffd85fe28acdede06fb3a81dfe3bf283803c6aa,845
27,870ae94170315b2a215d01f49aef0e59f0022145798d3431d0eb2612cb3bb87d,829
28,0ac226c1624f0a1afc89ff3f2dcac364bc6a7716762d362dcfdc01538e620eb7,798
29,d50486ee0e1541e0b5cc55502add877912624ce009897e19c42ac0e1ca74c32a,779
30,5f87bc1f67cbb22195abcb4b9134c3bff70c5474369e26fcd2a2b2a1dc102b23,778
31,471e95563918082caec3b5cd193f78c72a43ca7535721f27e3f371d0ff5454a1,774
32,e442055eb19ec012a61b997be429d4b1a165fb5610b4e4564c3884fa8e80314d,765
