source,category,complex_count,fraction_within_source
NPInter 主表,lncrna_local,32079,1.0
NPInter binding-site,lncrna_local,67185,1.0
NPInter miRNA,mirna_machinery,312,1.0
RCSB PDB,rbp_general,919,0.522159090909091
RCSB PDB,crispr_cas,270,0.1534090909090909
RCSB PDB,trna_protein,252,0.1431818181818182
RCSB PDB,viral_protein_rna,108,0.06136363636363636
RCSB PDB,rna_processing,48,0.02727272727272727
RCSB PDB,mirna_machinery,28,0.015909090909090907
RCSB PDB,aptamer_protein,26,0.014772727272727272
RCSB PDB,rna_helicase,24,0.013636363636363636
RCSB PDB,rna_modification_enzyme,18,0.010227272727272727
RCSB PDB,sirna_machinery,17,0.009659090909090909
RCSB PDB,puf_family,11,0.00625
RCSB PDB,riboswitch_protein,10,0.005681818181818182
RCSB PDB,omegatool_rnaguided,10,0.005681818181818182
RCSB PDB,snorna_protein,8,0.004545454545454545
RCSB PDB,rna_editing,7,0.003977272727272727
RCSB PDB,lncrna_local,3,0.0017045454545454545
RCSB PDB,circrna_interaction,1,0.0005681818181818182
