complex_id,source,rna_hash,length_nt
PAIR:8a62bbb2c00c26e005b198accb1f2b9c267de851a41475490df05b198faf044b,NPInter binding-site,d7f04da35c9dd5e2f4c27ac219e534a39fff371448de4c517a416d6d6da6b607,25
PAIR:90e89b2ebe34b69e732a3a363abcb8a4abb6387159a719cded98856e94daaf89,NPInter 主表,d4412959faef28eec70cecee33a3a7efa806a0f895c68099bc349c459051bfa3,434
PAIR:a6d926a7197cd433ea68c81f1e3ffd9a59f6ef59935fbfef22e78c0eb844dcb8,NPInter binding-site,f475cfdc597708c01439ca23208a2091e30300de09115d1b226cd803b6ec6556,20
PAIR:611a7d345e54fcf44ce8177de23090dbdf24a96bd7dd0e207de874bb3b95a72e,NPInter binding-site,711fdc037136b297d848aa8c7789daf456d198628b740ab630974e9eac346f30,89
PAIR:12e19d680b01a9b183a253424e3c3b7c43696d042f811c8e5c10ed1aba605e25,NPInter binding-site,e49687923935b823cd1e98d02a6283444ff320b8aa6c5b7536a1550b7aa74ec9,90
PAIR:21ca7ee34a44e7b47f121f907626e0b065cd923c3d7122dcb934347455427425,NPInter binding-site,98031c11be4532ec1340a5487bc31c73e2e8d018b7367c97522c31af9bc86816,41
PAIR:fe567382b8df7b4097ccce7a48e4dc27c6382d0e4c297df64b4c2c00c1efb3c0,NPInter 主表,01ce9adc60943b4775922460d1697261e54885101e56291121b5e25f9f433735,495
PAIR:bb4bde6a1c2b9c086a1751832d1ec20b7d811305c99fb5f514d0566d7f35ef98,NPInter binding-site,991cb636da6e02b8bae16ca87032b1b4ee4a69588d107e5bf4a1731e2511706d,25
PAIR:8d9d8f3f54dff4e1b22e05815b7cda1146a0163d015cc67dcd0002c6c195e65a,NPInter binding-site,db11864b4f49f71466787a08d5b573528867b8731fff582f456a4c9016f23332,22
PAIR:4193658ceb24e9b3f78330c0e82519d0286cd2941ad48e7dc46f3e7875a726f3,NPInter 主表,e7d0814dac2d4b591d77dd94b1df16991e45943b8617c14141dd4af3754ed41d,330
PAIR:2995fcfe963273865e075557d609b08d09a0b8ad6187fbade59d83a74455f120,NPInter 主表,43c7d64d949b826810aa47c717440463d3a987d79503f1b08aaf21ad3f403ed1,450
PAIR:d95ea39a2bb3b9cefd2278985f235768f721517eb6e581acf5d0a39aca5ced83,NPInter binding-site,29498227252b3fdb716aefb97aef8010fb5890fd07bd6350941a1db804f12840,24
PAIR:65415a893b30a4c1186498463d488364961f7cff141f4827dd570e48120e9d0e,NPInter binding-site,50e4c95dbb8fc7b359cf99a99e84230dc697c04538e3097e8c58172641da663d,20
PAIR:10daa8ce026da76402eb0ebf9a8c6156d7517b8d4e48d2e61246fec05c95b1d2,NPInter 主表,9ceb4d3a2cffac08bb42ec900ee46e4685e802474cb65b5344b2464d19d040ae,259
PAIR:53b447a1267199f627b7f246f76b9f2ccbbf57c03b34957bd201fc4e65d7cfde,NPInter 主表,ab050e739a1b654e559656f951569a94227a7252db84a6a1870d18703b1f146d,420
PAIR:2b421578ba53d9b1d2ef7efb7b9f4ce58680f922870c7a01c9a966bf82664614,NPInter binding-site,b10383b796b350ec9fbe37bddb6f023e53da26f11013e4186b30fd977e9b5abd,28
PAIR:3aec65640352979a80b9dbc016f7e71fb350ffcbc01cbe905419f7d6627f5dda,NPInter binding-site,8d17ddeadd21bbfb9199f8ec23ff00403ca0e2c969da18cc5f138b710dd72dd4,45
PAIR:13e8c5f31e90f44c91388ddb50927e800883954d3e766b4ad51b4be5b3aa49e4,NPInter binding-site,7e8cf88f5d2c0921cfeace66327e3fe76375edffc76941a09694e81b9bdf435b,53
PAIR:d0fd5bcc8c056ac828495017302774e2e857fc03f8388bd9a041efcd2ed95310,NPInter binding-site,2af9a8d34708e0612d3d901c68a3854e56e15044da008018121fc3782576d31d,112
PAIR:beaed787f3b32ad1fdade0930ceac99b27c1b561166043b73af8d9e8cc27436b,NPInter 主表,d7746808557b47e07af7a629960996179bf5c974010201aad8e7be9f69728fad,212
PAIR:568f81c53128c702c66a8873a7e2cf0e01c89e6425943ef693224bfcad84ed17,NPInter 主表,a2b0e9fd6d68bc295584aeb308c7da38e4d13f2163089403062afe7cdf69dbbb,372
PAIR:48cc6ead8814083559f3bf6f18e1bb552fbf208552f27980c3e14d94183e10a2,NPInter binding-site,f7ad72f20d9a1eab9fa0c479e9a4395f0a99c233ef1a3d74e0faeca2fb463a8a,32
PAIR:b9253d6cb00b1080b2c56a61f694dd804d1346ad925182190ba414d29465dfe7,NPInter binding-site,788b320c44f66af7d7ace1fa4efc105540c0affd5bc70a90db3f8bc1c762fd3d,58
PAIR:34ae177848ca99369395e10ea7412a3f4c1bac774e241d494703c6164567fa25,NPInter binding-site,ea4b7c35a4ac2a41b6ecbe94c8b6e5f0fa0534cca6cacd69d2897d58cce5872a,18
PAIR:c92768b57389f5c4bf2af4ff6a1d809ecab5c83cc7d79defff3f3e8952f945b4,NPInter 主表,9ee89b5aaae685bacab07fdc33ae1d2baa942394875bcfb44f4ecd9f105418d2,226
PAIR:7256173c0270a69cefebad9a9024a5c19390a75de52bd020ced72514fe29d7f3,NPInter 主表,a9e19d73ecc9feecf4c094c46b89cb6c4fe4664c00efd9716b51a7442323b08f,326
PAIR:b9d63e49cd26c1a392429f89764beae85a02fd8694315b1ac38efd24182595c6,NPInter binding-site,5996bbdaa64d61630a99597227669970b4d921e7c9620d6663defa7aaa530021,78
PAIR:9b737ffa8b708ac6ee6a601dfefa3c662896434fe2ec5276cef97f840a10352b,NPInter binding-site,99116d350d17f376518136977e2f789b0b53ae66d8d9b4561a52dcd7c9e275ae,51
PAIR:1d434c25053fe6df8649c164f1f0387dd08040fe6fdc41b8afa84849e2bd4038,NPInter binding-site,6dbb2f67503dc1226fb5c8f30866686602594516258c2f304ed7e76e7822938d,38
PAIR:3a8b5630d66309c6fce639ccb93ac9aa7628496f0501abce3c716f3d8666726a,NPInter 主表,6fefd4de28f5918044f79d025cb839644cbe552f538a80b29b8129ad325d6d7d,460
PAIR:5791c3a0a0d1bf01fd910afd5fb76f5d6dcb10620c8552cee821c0bbd4626756,NPInter binding-site,afdb47716437b7c1f542304f40a33c6fed70cfb26d8a2554eb07d924bf73c22e,38
PAIR:8829c88f87e31947ce04eba8918e123bbd3306562e07268431698f586c1ff119,NPInter binding-site,f9c9b734a8a760f47f0da44284a5db34317a04e6d6f3c639f276fb3aa30e8140,51
PAIR:b67dbb8b168e16d3d75edab42d349786c35e9074d0d107057dbe21c543e37ccc,NPInter binding-site,4ff3f6cfec25524bbf6d232ae093b0f1f4de052f6ea5710ca0d252f7bc3d9530,24
PAIR:c30cba00e0da7d100dd38df1600ff7a0e2cda7a30450c669e4b7e73f74b1f50d,NPInter binding-site,543bbc281ee0596ef9c93b11d02101b6b210862a9fd0debc6381d31b2285b7d3,77
PAIR:1a871d579d20e801ddfd9e63deb3daedc4982b3780061f3d171718e7324a5edb,NPInter binding-site,22673a0e2f6f426ca5e0203a23edb446af78378bde3b58b64f4ba5c68a93cbc1,50
PAIR:3f2410e214dbcf3aa30c1c4354b0a30f7ef851de241ba13db2263e9ae0ff8383,NPInter binding-site,fc5e70a653439358684fcccbc31f055e345fddf52e705957524ca166ee34f54c,39
PAIR:cbabc1b960170693fff40bd8765b6a5330ce366e265323c62c225af413ad9f28,NPInter binding-site,38b1650ac48c016ed522ca4da1af69c15e5a49e10167f627ebc3a0dff74bbf6e,24
PAIR:2cd6d4736c745a31b1fb2d968e3801e0f453f1062e599c7c8d698971c188ff08,NPInter 主表,aaeb36edebc41e731dbc680092eaeaa6ce5be701b7ef5800e22863efe6f079e0,427
PAIR:e888a0dc86cc666853164c1d730371c56ab5f5e828610271b32eb5331827ea7b,NPInter binding-site,bcb2efc9dc62e10767b90f4d2e1a399fafd88aa5d0523990910032e94b22cf90,18
PAIR:8fe4eaff155ab2e580cf0c74ebe0abdc52ff4b2e1706f64d79e2ddebb6b38035,NPInter binding-site,6168dd8c84f2239f89ee12c01c0a0d37b0b0f347def536375a9a0ee6110e6799,13
PAIR:44e1f8063defc734d6418ba8852322b4485a6977c458fdabaa5770b3d1cab023,NPInter binding-site,777336a91cf0ed0ba15c00bc15551e26a9bbc0348efd84c1cb804d473feac1ae,101
PAIR:3e5149c662a8fec8716051f36aec880b97ee2ff8e0e78198a6254c434edfd9ab,NPInter binding-site,2d045c566f4238fcfe5249653fd6e5b6f3b6f372d09af32c73504356e235eac3,29
PAIR:011f7a03f4b51b2c4c61a81265604afc56f2a98715d4ab97b8dff3cb98460e1f,NPInter binding-site,797c08ebb192125c5a934f4a09c882aed21897f2dd81953bf3fd1c2afa3979e4,26
PAIR:cbf01736921324496149c7754e955eaf1a390d3db47f0da5297700049ea66509,NPInter 主表,7eb94d6b6fdcb1d46fad4d195b44809acbae8516c3725c404398540fef6ced6d,497
PAIR:217a73beb42c66a080ef25d80b99c482ced7a91ade3d515bd77cd2b1b86aed74,NPInter binding-site,d34cab6e67ff974b54c9de483b056204e119085fa1996afd4a75fef7eab6700d,18
