field,rows,null_count,blank_string_count,nonempty_count,nonempty_fraction
protein_sequence,573198,0,0,573198,1.0
rna_sequence,573198,0,0,573198,1.0
protein_accession,573198,0,0,573198,1.0
rna_accession,573198,0,0,573198,1.0
protein_name,573198,0,196748,376450,0.6567538616673471
rna_name,573198,0,0,573198,1.0
organism,573198,0,41759,531439,0.9271473382670561
taxonomy_id,573198,0,573198,0,0.0
system_class,573198,0,0,573198,1.0
system_subtype,573198,0,238507,334691,0.5839011999344031
rna_class,573198,0,0,573198,1.0
source_database,573198,0,0,573198,1.0
source_record_id,573198,0,0,573198,1.0
source_url_or_identifier,573198,0,0,573198,1.0
interaction_evidence,573198,0,0,573198,1.0
experimental_structure_available,573198,0,0,573198,1.0
pdb_id,573198,0,531439,41759,0.07285266173294394
window_start,573198,376450,0,196748,0.34324613833265294
window_end,573198,376450,0,196748,0.34324613833265294
window_strand,573198,0,376450,196748,0.34324613833265294
notes,573198,0,0,573198,1.0
source_input_row,573198,0,0,573198,1.0
source_filter_pass,573198,0,0,573198,1.0
sample_id,573198,0,0,573198,1.0
sequence_hash,573198,0,0,573198,1.0
benchmark_conflict,573198,0,0,573198,1.0
raw_source_id,573198,0,0,573198,1.0
