field,meaning
protein_sequence,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
rna_sequence,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
protein_accession,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
rna_accession,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
protein_name,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
rna_name,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
organism,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
taxonomy_id,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
system_class,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
system_subtype,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
rna_class,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
source_database,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
source_record_id,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
source_url_or_identifier,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
interaction_evidence,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
experimental_structure_available,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
pdb_id,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
window_start,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
window_end,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
window_strand,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
notes,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
source_input_row,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
source_filter_pass,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
sample_id,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
sequence_hash,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
benchmark_conflict,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
raw_source_id,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
protein_length_recalc_full,本脚本由当前序列重新计算的审计字段。
rna_length_recalc_full,本脚本由当前序列重新计算的审计字段。
recomputed_sequence_hash_full,本脚本由当前序列重新计算的审计字段。
hash_match_full,本脚本由当前序列重新计算的审计字段。
strict_sequence_pass_full,本脚本由当前序列重新计算的审计字段。
main_length_pass_full,本脚本由当前序列重新计算的审计字段。
evidence_level_full,本脚本由当前序列重新计算的审计字段。
evidence_rank_full,本脚本由当前序列重新计算的审计字段。
interaction_system_full,本脚本由当前序列重新计算的审计字段。
rna_length_bin_full,本脚本由当前序列重新计算的审计字段。
total_length_full,本脚本由当前序列重新计算的审计字段。
prediction_length_bin_full,本脚本由当前序列重新计算的审计字段。
protein_invalid_chars_full,本脚本由当前序列重新计算的审计字段。
rna_invalid_chars_full,本脚本由当前序列重新计算的审计字段。
protein_ambiguous_count_full,本脚本由当前序列重新计算的审计字段。
rna_ambiguous_count_full,本脚本由当前序列重新计算的审计字段。
rna_gc_fraction_full,本脚本由当前序列重新计算的审计字段。
protein_entropy_full,本脚本由当前序列重新计算的审计字段。
rna_entropy_full,本脚本由当前序列重新计算的审计字段。
hard_qc_pass,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
evidence_rank,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
has_structure,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
metadata_fields,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
length_deviation,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
protein_cluster90,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
protein_cluster30,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
rna_cluster90,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
interaction_system,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
rna_length_bin,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
local_rna_cluster_size,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
rare_system,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
total_length,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
prediction_length_bin,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
selection_stage,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
selection_reason,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
protein_pair_count_final,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
rna_pair_count_final,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
protein_cluster30_pair_count_final,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
rna_cluster90_pair_count_final,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
benchmark_exact_pair_overlap,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
benchmark_exact_protein_overlap,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
benchmark_exact_rna_overlap,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
benchmark_conflict_recomputed,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
final_row_number,最终队列保留的原始字段或 pre-Boltz 字段；详细口径见脚本源代码。
