protein_resolution_source,rna_resolution_source,protein_id_type,rna_id_type,protein_mapping_state,rna_mapping_state,rows
<unlabeled>,<unlabeled>,uniprot_like,noncode_like,exact,exact,330529
<unlabeled>,<unlabeled>,uniprot_like,ensembl_like,exact,id_without_sequence,137558
<unlabeled>,<unlabeled>,uniprot_like,noncode_like,exact,id_without_sequence,55760
<unlabeled>,<unlabeled>,uniprot_like,other_or_missing,exact,id_without_sequence,26775
<unlabeled>,<unlabeled>,other_or_missing,noncode_like,exact,exact,3849
<unlabeled>,<unlabeled>,other_or_missing,noncode_like,id_without_sequence,exact,3285
<unlabeled>,<unlabeled>,other_or_missing,noncode_like,id_without_sequence,id_without_sequence,1402
<unlabeled>,<unlabeled>,other_or_missing,noncode_like,exact,id_without_sequence,1066
<unlabeled>,<unlabeled>,uniprot_like,noncode_like,id_without_sequence,exact,881
<unlabeled>,<unlabeled>,other_or_missing,ensembl_like,id_without_sequence,id_without_sequence,678
<unlabeled>,<unlabeled>,uniprot_like,ensembl_like,id_without_sequence,id_without_sequence,612
<unlabeled>,<unlabeled>,uniprot_like,mirbase_like,exact,id_without_sequence,517
<unlabeled>,<unlabeled>,other_or_missing,ensembl_like,exact,id_without_sequence,481
<unlabeled>,<unlabeled>,other_or_missing,other_or_missing,exact,id_without_sequence,402
<unlabeled>,<unlabeled>,other_or_missing,other_or_missing,id_without_sequence,id_without_sequence,329
<unlabeled>,<unlabeled>,uniprot_like,noncode_like,id_without_sequence,id_without_sequence,316
<unlabeled>,<unlabeled>,uniprot_like,other_or_missing,exact,missing,80
<unlabeled>,<unlabeled>,ensembl_like,noncode_like,id_without_sequence,exact,41
<unlabeled>,<unlabeled>,ensembl_like,other_or_missing,id_without_sequence,id_without_sequence,26
<unlabeled>,<unlabeled>,other_or_missing,mirbase_like,exact,id_without_sequence,19
<unlabeled>,<unlabeled>,uniprot_like,other_or_missing,id_without_sequence,id_without_sequence,18
<unlabeled>,<unlabeled>,ensembl_like,ensembl_like,id_without_sequence,id_without_sequence,6
<unlabeled>,<unlabeled>,uniprot_like,mirbase_like,id_without_sequence,id_without_sequence,6
<unlabeled>,<unlabeled>,ensembl_like,mirbase_like,id_without_sequence,id_without_sequence,5
<unlabeled>,<unlabeled>,other_or_missing,mirbase_like,id_without_sequence,id_without_sequence,3
<unlabeled>,<unlabeled>,other_or_missing,other_or_missing,id_without_sequence,missing,2
