rank,protein_hash,protein_name,protein_accession,protein_length_aa,complex_count,source_count,NPInter 主表,NPInter binding-site,NPInter miRNA,RCSB PDB
1,d53e700e6d239ae8af9ea767b63311bbf6d773032026a1c967246d1f4e663c8b,Upf1,Q92900,1129,5750,2,926,4824,0,0
2,3cf8129cb620c63bbdeb97d01bd5d2e33702c0395ad382e1b92fadebc9cd2017,WDR33,Q9C0J8,1336,5750,2,2487,3263,0,0
3,4a254ab17fd6e25c6ef061a6a774d2f2083dc87d233eddcad9727fd306e733c0,Fus,P35637,526,5581,2,1676,3905,0,0
4,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,Tdp43,Q921F2,414,5578,2,397,5181,0,0
5,7b11c5b47807fe00f4c20f0290106bb7382782c304c71d5f842906617a1216b0,FBL,P22087,321,3079,2,1142,1937,0,0
6,a5745e83e4188b1293df15ae00232356e8da907a01516acd93bdab43e5479109,MOV10,P22626,353,2692,2,357,2335,0,0
7,54f637b916b4bc99b3da957f0029f5302a0a404becdc855712e13eaf50083901,hnRNPA2B1,O88569,353,2293,2,1671,622,0,0
8,bdde991a41ffa7f13aa88d9a8f16475198456ef2041a1b43efcdda931ef61269,HNRNPU,Q00839,825,2200,2,407,1793,0,0
9,0dc9f286fbf1368a5715f64d7fbe78ef12fafb76a89363f840ef946f61050f8f,CSTF2T,Q9H0L4,616,1810,2,335,1475,0,0
10,e7b83e519ef6ca16d07cd477eb8474f8141c4f70b20f0ecabce334a03fa13b6b,hnRNPL,P14866,589,1794,2,772,1022,0,0
11,5ed5e735763d5ee7295541f32f24266389d5d3ccf7a723fb61bf4a407a7e62fa,PSF,P23246,707,1751,2,569,1182,0,0
12,fd19b5ff83afac35c7eb51d5e79d6991972944391afa5d875bf60ac155f40089,DBHS,Q15233,471,1691,2,539,1152,0,0
13,9e62ed7fce0b01304350ed65fe685158bd77a0e9365e63398834a250c6394d1e,CSTF2,P33240,577,1599,2,299,1300,0,0
14,72d8d68f6efa5b8d5ade4b8102589c310eaa34c382913d2db4228f2fac459841,JARID2,Q92833,1246,1483,2,115,1368,0,0
15,d8c81a767fda82bb29a7aa451ca725ac4b4b3f5660a754489017ec60d55f4a73,hnRNPC,P07910,306,1409,2,385,1024,0,0
16,27de9ad3831d4b8712fea8c5edcf7f89de9b16d915e147994419b6874c948f88,TIA1,P31483,386,1353,2,317,1036,0,0
17,04e940a5ebf0b96fc9faa1d8b38ce5273808c79190ab719e40a85726aa6605c3,UCHL5,Q9Y5K5,329,1292,2,322,970,0,0
18,75078f3a53de34edd93133af165bd3d5246d26dddb31ce2037c8b11ac97791bf,SFRS1,Q07955,248,1163,2,305,858,0,0
19,d0ab90ec41dfb6e98da7a058eb1157f61190d5bddb6f07671e674e95f21efb3b,U2AF2,P26368,475,1010,2,293,717,0,0
20,fe2f58ab5c0d00d21d306407b7b4272c66dcc1e9ad8ed24c8afdd3d8fef67482,BUD13,Q9BRD0,619,981,2,266,715,0,0
21,f4851453d4de4ed2f0aea46c1a82752be0139b026f62c7aa7875fff0028414d6,SAFB2,Q14151,953,937,2,209,728,0,0
22,b7b1f0c8befd3b79a2858fab25ea2b1896747cd28b13edc88a13969b60adfe9e,FUBP2,Q92945,711,897,2,266,631,0,0
23,8b6e6bfa915a530a1d8ce532ba96efea2b2697974b57e76114de04c1d8f61622,SPPL3,Q8TCT6,384,892,2,272,620,0,0
24,38007c86c8964651573614630370c28d12e674fbbfd29ef28f32aad9ff298b37,ILF3,Q12906,894,874,2,303,571,0,0
25,f4773c1f8040890d506a167b70759e2a084bbfa1c1606db2ba105c4878e4c798,IGF2BP3,O00425,579,858,2,267,591,0,0
26,8b36b8b3623626f203cc3ac25ffd85fe28acdede06fb3a81dfe3bf283803c6aa,GRWD1,Q9BQ67,446,845,2,262,583,0,0
27,870ae94170315b2a215d01f49aef0e59f0022145798d3431d0eb2612cb3bb87d,RBM15,Q96T37,977,829,2,205,624,0,0
28,0ac226c1624f0a1afc89ff3f2dcac364bc6a7716762d362dcfdc01538e620eb7,U2AF1,Q01081,240,798,2,254,544,0,0
29,d50486ee0e1541e0b5cc55502add877912624ce009897e19c42ac0e1ca74c32a,HNRPK,P61978,463,779,2,217,562,0,0
30,5f87bc1f67cbb22195abcb4b9134c3bff70c5474369e26fcd2a2b2a1dc102b23,RBFOX2,O43251,390,778,2,245,533,0,0
31,471e95563918082caec3b5cd193f78c72a43ca7535721f27e3f371d0ff5454a1,RNC,Q9NRR4,1374,774,2,222,552,0,0
32,e442055eb19ec012a61b997be429d4b1a165fb5610b4e4564c3884fa8e80314d,HNRNPA1,P09651,372,765,2,78,687,0,0
33,e448a457dccb5dc800cc0e3e4b687a146423ea7e18231d08fa9f0de52d3eddb6,FAM120A,Q9NZB2,1118,758,2,205,553,0,0
34,654ee85187355b550d5edfa16ead15f1d2a95a877a3e61c8840411f33709e83c,SLTM,Q9NWH9,1034,739,2,136,603,0,0
35,b85d7e4ff7db6cd0b25d7a9571aad34875a1fd0bb855943a32b5b65aaece7880,EIF3D,O15371,548,731,2,237,494,0,0
36,022c267c8428b62788b29f05279a1243080b944a7d58045a0c103edd1af36027,FTO,Q9C0B1,505,716,2,178,538,0,0
37,1de29d2a5450b57954d6324ba900569207a68bcd2f7c3e2e316ea1be2b8efac2,LSM11,P83369,360,716,2,217,499,0,0
38,3f9af6907ab151112248497b3aad251d993cc9c76a2ff8a6b5c7bdaacadba840,QKI,Q96PU8,341,701,3,217,483,1,0
39,070ee8283d84b7963db0400e059a9f5e768628e5f4625101953ccb162f66ed69,SUGP2,Q8IX01,1082,690,2,182,508,0,0
40,8318428ca976096305d8c371a32fcd21c57a39f94e0e0a80278bda9c1b56a9a6,XRN2,Q9H0D6,950,680,2,173,507,0,0
41,c32168aa26bc469504206e8370d57f8c5eb232d39d5b62fa5ff8d2890095f61d,NKRF,O15226,690,675,2,184,491,0,0
42,e9dfe3add14d17a938d9a42fa9356ddc680181c6d3029b216f9a4577c92b8cb4,IF2B1,Q9NZI8,577,669,2,262,407,0,0
43,205c68016d18020775123bd260c1e56d2781094bb7da8f69639b85c3a6a52c0c,RBM6,P78332,1123,656,2,333,323,0,0
44,b8f8a175d7403684fd385be012e3e43d33dcda33659089ea7eac2a2d8147e92e,KHDR1,Q07666,443,654,2,210,444,0,0
45,16df3ed2624e19bbc1f230f94eb02d646ab6ddc900050cdec0ddf99c4b04e13e,Celf1,P28659,486,646,2,76,570,0,0
46,e295146d6988d3c1648023ff523b8c0f0979e2088ebf7a8b266bdcb2193f6ad2,ZC11A,O75152,810,632,2,205,427,0,0
47,aab0c76ff7fdae28f6d15b03443a997f6fbc7bc2c273a07a5fef73bf60c1910f,PTBP1,P26599,557,618,2,212,406,0,0
48,78f16cac6a9641581d50061699f49acbea1d226148bf544f24a63c74bb63051a,NCBP2,P52298,156,616,3,161,454,0,1
49,a5eb2a05bcffda742112224769a5500aa6d81f8494ecef83da7d02966049517f,CPSF6,Q16630,551,615,2,199,416,0,0
50,14ee69b1a19a03372946f30cbf7f3656100e0be94e39f5b9ea9fb6e301e86081,RBM10,P98175,930,613,2,424,189,0,0
51,66f0c984b23f5b0d97e0e41f06e9e208e27b165f4936f1b79097098969e384de,hnRNPM,P52272,730,612,2,216,396,0,0
52,222a9960cf85935bce6e7f986912eaed6d69230a47a3118ff19298fef1c39d92,YBOX3,P16989,372,607,2,246,361,0,0
53,a88214235ca79bf8fd1c4f06548d145a54ad9c349c90f4535279e4d93d47bd7d,LARP4,Q71RC2,724,596,2,168,428,0,0
54,b2043073f73f5e619b44997fa53feff83f5b1330f516a6efd0e0046872c461b9,PPIG,Q13427,754,586,2,209,377,0,0
55,b88c2444ebf7a4983eb5d42f0e911a7c726767ab25d09aeaf5a7b0b760e820eb,DDX3X,O00571,662,550,2,169,381,0,0
56,7c8352f9f46d61a04e6bd6e3177d082eb2f5beef0c88831d9739d8aeafab1085,ZNF622,Q969S3,477,522,2,194,328,0,0
57,404b4e7b1d0ed17cd02850d67a59d3574c9a4cd962d7faa23a4b2b15937f5c5c,DGCR8,Q8WYQ5,773,520,3,148,369,0,3
58,ecf13ad40af491ee1209209f3f8287ff311ffbeed5c44696e5cf5c4a0ec54423,XRCC6,P12956,609,502,2,154,348,0,0
59,88d61a0a529c2068e1b73f4bb1fb0a3b421b3c0f3994bb48b667fd23471202a4,HNRNPUL1,Q9BUJ2,856,491,2,157,334,0,0
60,03346d5c8912f23e69eb32efddd16d88e4bb92b47873cb99ddd9f210c7b559bd,SRSF9,Q13242,221,486,2,119,367,0,0
61,5ec90b937f38e6859645039f0d3418f863a952bd7e8a2c160ba5a63bc24b36ad,LIN28B,Q6ZN17,250,484,2,214,270,0,0
62,6fdde755cd85ee77cc362fbc3aec77de2241b8a5ab87def53d424a3f115071c8,FAKD2,Q9NYY8,710,468,2,161,307,0,0
63,d19abb85e8efab173b20be101ab23c595b62aa06850b2ee738002ed7111eba69,PCBP2,Q15366,365,466,2,175,291,0,0
64,91afa9c2866d405a99bc80d522153e62749cb0970635f9feff16b3eba4bf7ad7,CPSF7,Q8N684,471,462,2,241,221,0,0
