complex_id,source,protein_hash,length_aa
PAIR:8a62bbb2c00c26e005b198accb1f2b9c267de851a41475490df05b198faf044b,NPInter binding-site,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,414
PAIR:90e89b2ebe34b69e732a3a363abcb8a4abb6387159a719cded98856e94daaf89,NPInter 主表,b85d7e4ff7db6cd0b25d7a9571aad34875a1fd0bb855943a32b5b65aaece7880,548
PAIR:a6d926a7197cd433ea68c81f1e3ffd9a59f6ef59935fbfef22e78c0eb844dcb8,NPInter binding-site,14ee69b1a19a03372946f30cbf7f3656100e0be94e39f5b9ea9fb6e301e86081,930
PAIR:611a7d345e54fcf44ce8177de23090dbdf24a96bd7dd0e207de874bb3b95a72e,NPInter binding-site,d0ab90ec41dfb6e98da7a058eb1157f61190d5bddb6f07671e674e95f21efb3b,475
PAIR:12e19d680b01a9b183a253424e3c3b7c43696d042f811c8e5c10ed1aba605e25,NPInter binding-site,aab0c76ff7fdae28f6d15b03443a997f6fbc7bc2c273a07a5fef73bf60c1910f,557
PAIR:21ca7ee34a44e7b47f121f907626e0b065cd923c3d7122dcb934347455427425,NPInter binding-site,acfa484c42cfffe53e1c5b8454e5122d33697c0110cee32c8ed105610033eeb7,907
PAIR:fe567382b8df7b4097ccce7a48e4dc27c6382d0e4c297df64b4c2c00c1efb3c0,NPInter 主表,222a9960cf85935bce6e7f986912eaed6d69230a47a3118ff19298fef1c39d92,372
PAIR:bb4bde6a1c2b9c086a1751832d1ec20b7d811305c99fb5f514d0566d7f35ef98,NPInter binding-site,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,414
PAIR:8d9d8f3f54dff4e1b22e05815b7cda1146a0163d015cc67dcd0002c6c195e65a,NPInter binding-site,72d8d68f6efa5b8d5ade4b8102589c310eaa34c382913d2db4228f2fac459841,1246
PAIR:4193658ceb24e9b3f78330c0e82519d0286cd2941ad48e7dc46f3e7875a726f3,NPInter 主表,5ed5e735763d5ee7295541f32f24266389d5d3ccf7a723fb61bf4a407a7e62fa,707
PAIR:2995fcfe963273865e075557d609b08d09a0b8ad6187fbade59d83a74455f120,NPInter 主表,9c52d7f528d3178e9217812f5b499c275e31f45c0f63d9e02ede37798c3a9a09,538
PAIR:d95ea39a2bb3b9cefd2278985f235768f721517eb6e581acf5d0a39aca5ced83,NPInter binding-site,8b6e6bfa915a530a1d8ce532ba96efea2b2697974b57e76114de04c1d8f61622,384
PAIR:65415a893b30a4c1186498463d488364961f7cff141f4827dd570e48120e9d0e,NPInter binding-site,5ed5e735763d5ee7295541f32f24266389d5d3ccf7a723fb61bf4a407a7e62fa,707
PAIR:10daa8ce026da76402eb0ebf9a8c6156d7517b8d4e48d2e61246fec05c95b1d2,NPInter 主表,d53e700e6d239ae8af9ea767b63311bbf6d773032026a1c967246d1f4e663c8b,1129
PAIR:53b447a1267199f627b7f246f76b9f2ccbbf57c03b34957bd201fc4e65d7cfde,NPInter 主表,fd19b5ff83afac35c7eb51d5e79d6991972944391afa5d875bf60ac155f40089,471
PAIR:2b421578ba53d9b1d2ef7efb7b9f4ce58680f922870c7a01c9a966bf82664614,NPInter binding-site,5ec90b937f38e6859645039f0d3418f863a952bd7e8a2c160ba5a63bc24b36ad,250
PAIR:3aec65640352979a80b9dbc016f7e71fb350ffcbc01cbe905419f7d6627f5dda,NPInter binding-site,f4773c1f8040890d506a167b70759e2a084bbfa1c1606db2ba105c4878e4c798,579
PAIR:13e8c5f31e90f44c91388ddb50927e800883954d3e766b4ad51b4be5b3aa49e4,NPInter binding-site,0ac226c1624f0a1afc89ff3f2dcac364bc6a7716762d362dcfdc01538e620eb7,240
