rank,protein_hash,protein_name,protein_accession,protein_length_aa,complex_count,source_count,NPInter 主表,NPInter binding-site,NPInter miRNA,RCSB PDB
1,d53e700e6d239ae8af9ea767b63311bbf6d773032026a1c967246d1f4e663c8b,Upf1,Q92900,1129,5750,2,926,4824,0,0
2,3cf8129cb620c63bbdeb97d01bd5d2e33702c0395ad382e1b92fadebc9cd2017,WDR33,Q9C0J8,1336,5750,2,2487,3263,0,0
3,4a254ab17fd6e25c6ef061a6a774d2f2083dc87d233eddcad9727fd306e733c0,Fus,P35637,526,5581,2,1676,3905,0,0
4,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,Tdp43,Q921F2,414,5578,2,397,5181,0,0
5,7b11c5b47807fe00f4c20f0290106bb7382782c304c71d5f842906617a1216b0,FBL,P22087,321,3079,2,1142,1937,0,0
6,a5745e83e4188b1293df15ae00232356e8da907a01516acd93bdab43e5479109,MOV10,P22626,353,2692,2,357,2335,0,0
7,54f637b916b4bc99b3da957f0029f5302a0a404becdc855712e13eaf50083901,hnRNPA2B1,O88569,353,2293,2,1671,622,0,0
8,bdde991a41ffa7f13aa88d9a8f16475198456ef2041a1b43efcdda931ef61269,HNRNPU,Q00839,825,2200,2,407,1793,0,0
9,0dc9f286fbf1368a5715f64d7fbe78ef12fafb76a89363f840ef946f61050f8f,CSTF2T,Q9H0L4,616,1810,2,335,1475,0,0
10,e7b83e519ef6ca16d07cd477eb8474f8141c4f70b20f0ecabce334a03fa13b6b,hnRNPL,P14866,589,1794,2,772,1022,0,0
11,5ed5e735763d5ee7295541f32f24266389d5d3ccf7a723fb61bf4a407a7e62fa,PSF,P23246,707,1751,2,569,1182,0,0
12,fd19b5ff83afac35c7eb51d5e79d6991972944391afa5d875bf60ac155f40089,DBHS,Q15233,471,1691,2,539,1152,0,0
13,9e62ed7fce0b01304350ed65fe685158bd77a0e9365e63398834a250c6394d1e,CSTF2,P33240,577,1599,2,299,1300,0,0
14,72d8d68f6efa5b8d5ade4b8102589c310eaa34c382913d2db4228f2fac459841,JARID2,Q92833,1246,1483,2,115,1368,0,0
15,d8c81a767fda82bb29a7aa451ca725ac4b4b3f5660a754489017ec60d55f4a73,hnRNPC,P07910,306,1409,2,385,1024,0,0
16,27de9ad3831d4b8712fea8c5edcf7f89de9b16d915e147994419b6874c948f88,TIA1,P31483,386,1353,2,317,1036,0,0
17,04e940a5ebf0b96fc9faa1d8b38ce5273808c79190ab719e40a85726aa6605c3,UCHL5,Q9Y5K5,329,1292,2,322,970,0,0
18,75078f3a53de34edd93133af165bd3d5246d26dddb31ce2037c8b11ac97791bf,SFRS1,Q07955,248,1163,2,305,858,0,0
19,d0ab90ec41dfb6e98da7a058eb1157f61190d5bddb6f07671e674e95f21efb3b,U2AF2,P26368,475,1010,2,293,717,0,0
20,fe2f58ab5c0d00d21d306407b7b4272c66dcc1e9ad8ed24c8afdd3d8fef67482,BUD13,Q9BRD0,619,981,2,266,715,0,0
