rank_before,rank_after,protein_hash,protein_name,protein_accession,protein_length_aa,source_complex_count,final_complex_count,retained_fraction,removed_complex_count,source_NPInter 主表,final_NPInter 主表,source_NPInter binding-site,final_NPInter binding-site,source_NPInter miRNA,final_NPInter miRNA,source_RCSB PDB,final_RCSB PDB
3,1,3cf8129cb620c63bbdeb97d01bd5d2e33702c0395ad382e1b92fadebc9cd2017,WDR33,Q9C0J8,1336,33849,5750,0.1698720789388165,28099,19606,2487,14243,3263,0,0,0,0
4,2,d53e700e6d239ae8af9ea767b63311bbf6d773032026a1c967246d1f4e663c8b,Upf1,Q92900,1129,19751,5750,0.29112450002531515,14001,10789,926,8962,4824,0,0,0,0
1,3,4a254ab17fd6e25c6ef061a6a774d2f2083dc87d233eddcad9727fd306e733c0,Fus,P35637,526,52353,5581,0.10660325100758314,46772,27782,1676,24571,3905,0,0,0,0
6,4,3c29fa43d6ac2c990693312bc28d6262fa6244a10431e7277ae5201e25b1bab4,Tdp43,Q921F2,414,11516,5578,0.4843695727683223,5938,4815,397,6701,5181,0,0,0,0
7,5,7b11c5b47807fe00f4c20f0290106bb7382782c304c71d5f842906617a1216b0,FBL,P22087,321,10327,3079,0.29815047932603855,7248,8323,1142,2004,1937,0,0,0,0
5,6,a5745e83e4188b1293df15ae00232356e8da907a01516acd93bdab43e5479109,MOV10,P22626,353,14174,2692,0.18992521518272895,11482,8309,357,5865,2335,0,0,0,0
2,7,54f637b916b4bc99b3da957f0029f5302a0a404becdc855712e13eaf50083901,hnRNPA2B1,O88569,353,35430,2293,0.06471916454981654,33137,19903,1671,15527,622,0,0,0,0
11,8,bdde991a41ffa7f13aa88d9a8f16475198456ef2041a1b43efcdda931ef61269,HNRNPU,Q00839,825,4872,2200,0.451559934318555,2672,2929,407,1943,1793,0,0,0,0
13,9,0dc9f286fbf1368a5715f64d7fbe78ef12fafb76a89363f840ef946f61050f8f,CSTF2T,Q9H0L4,616,4131,1810,0.43815056886952314,2321,2538,335,1593,1475,0,0,0,0
10,10,e7b83e519ef6ca16d07cd477eb8474f8141c4f70b20f0ecabce334a03fa13b6b,hnRNPL,P14866,589,5838,1794,0.30729701952723537,4044,4706,772,1132,1022,0,0,0,0
8,11,5ed5e735763d5ee7295541f32f24266389d5d3ccf7a723fb61bf4a407a7e62fa,PSF,P23246,707,6263,1751,0.27957847676832187,4512,5010,569,1253,1182,0,0,0,0
9,12,fd19b5ff83afac35c7eb51d5e79d6991972944391afa5d875bf60ac155f40089,DBHS,Q15233,471,6159,1691,0.2745575580451372,4468,4936,539,1223,1152,0,0,0,0
18,13,9e62ed7fce0b01304350ed65fe685158bd77a0e9365e63398834a250c6394d1e,CSTF2,P33240,577,3586,1599,0.4459007250418293,1987,2202,299,1384,1300,0,0,0,0
21,14,72d8d68f6efa5b8d5ade4b8102589c310eaa34c382913d2db4228f2fac459841,JARID2,Q92833,1246,3361,1483,0.44123772686700385,1878,1763,115,1598,1368,0,0,0,0
16,15,d8c81a767fda82bb29a7aa451ca725ac4b4b3f5660a754489017ec60d55f4a73,hnRNPC,P07910,306,3650,1409,0.38602739726027396,2241,2578,385,1072,1024,0,0,0,0
14,16,27de9ad3831d4b8712fea8c5edcf7f89de9b16d915e147994419b6874c948f88,TIA1,P31483,386,3812,1353,0.3549317943336831,2459,2695,317,1117,1036,0,0,0,0
19,17,04e940a5ebf0b96fc9faa1d8b38ce5273808c79190ab719e40a85726aa6605c3,UCHL5,Q9Y5K5,329,3572,1292,0.3617021276595745,2280,2470,322,1102,970,0,0,0,0
17,18,75078f3a53de34edd93133af165bd3d5246d26dddb31ce2037c8b11ac97791bf,SFRS1,Q07955,248,3614,1163,0.32180409518539016,2451,2626,305,988,858,0,0,0,0
22,19,d0ab90ec41dfb6e98da7a058eb1157f61190d5bddb6f07671e674e95f21efb3b,U2AF2,P26368,475,3274,1010,0.30849114233353697,2264,2489,293,785,717,0,0,0,0
26,20,fe2f58ab5c0d00d21d306407b7b4272c66dcc1e9ad8ed24c8afdd3d8fef67482,BUD13,Q9BRD0,619,2776,981,0.3533861671469741,1795,1994,266,782,715,0,0,0,0
